Hiragana,Romaji,Audio
あ,a,[sound:1_a.mp3]
い,i,[sound:2_i.mp3]
う,u,[sound:3_u.mp3]
え,e,[sound:4_e.mp3]
お,o,[sound:5_o.mp3]
か,ka,[sound:6_ka.mp3]
き,ki,[sound:7_ki.mp3]
く,ku,[sound:8_ku.mp3]
け,ke,[sound:9_ke.mp3]
こ,ko,[sound:10_ko.mp3]
さ,sa,[sound:11_sa.mp3]
し,shi,[sound:12_shi.mp3]
す,su,[sound:13_su.mp3]
せ,se,[sound:14_se.mp3]
そ,so,[sound:15_so.mp3]
た,ta,[sound:16_ta.mp3]
ち,chi,[sound:17_chi.mp3]
つ,tsu,[sound:18_tsu.mp3]
て,te,[sound:19_te.mp3]
と,to,[sound:20_to.mp3]
な,na,[sound:21_na.mp3]
に,ni,[sound:22_ni.mp3]
ぬ,nu,[sound:23_nu.mp3]
ね,ne,[sound:24_ne.mp3]
の,no,[sound:25_no.mp3]
は,ha,[sound:26_ha.mp3]
ひ,hi,[sound:27_hi.mp3]
ふ,fu,[sound:28_hu.mp3]
へ,he,[sound:29_he.mp3]
ほ,ho,[sound:30_ho.mp3]
ま,ma,[sound:31_ma.mp3]
み,mi,[sound:32_mi.mp3]
む,mu,[sound:33_mu.mp3]
め,me,[sound:34_me.mp3]
も,mo,[sound:35_mo.mp3]
や,ya,[sound:36_ya.mp3]
ゆ,yu,[sound:37_yu.mp3]
よ,yo,[sound:38_yo.mp3]
ら,ra,[sound:39_ra.mp3]
り,ri,[sound:40_ri.mp3]
る,ru,[sound:41_ru.mp3]
れ,re,[sound:42_re.mp3]
ろ,ro,[sound:43_ro.mp3]
わ,wa,[sound:44_wa.mp3]
を,wo,[sound:45_wo.mp3]
ん,n,[sound:46_n.mp3]
が,ga,[sound:d1-ga.mp3]
ぎ,gi,[sound:d2-gi.mp3]
ぐ,gu,[sound:d3-gu.mp3]
げ,ge,[sound:d4-ge.mp3]
ご,go,[sound:d5-go.mp3]
ざ,za,[sound:d6-za.mp3]
じ,ji,[sound:d7-ji.mp3]
ず,zu,[sound:d8-zu.mp3]
ぜ,ze,[sound:d9-ze.mp3]
ぞ,zo,[sound:d10-zo.mp3]
だ,da,[sound:d11-da.mp3]
ぢ,dzi,[sound:d12-dzi.mp3]
づ,dzu,[sound:d13-dzu.mp3]
で,de,[sound:d14-de.mp3]
ど,do,[sound:d15-do.mp3]
ば,ba,[sound:d16-ba.mp3]
び,bi,[sound:d17-bi.mp3]
ぶ,bu,[sound:d18-bu.mp3]
べ,be,[sound:d19-be.mp3]
ぼ,bo,[sound:d20-bo.mp3]
ぱ,pa,[sound:d21-pa.mp3]
ぴ,pi,[sound:d22-pi.mp3]
ぷ,pu,[sound:d23-pu.mp3]
ぺ,pe,[sound:d24-pe.mp3]
ぽ,po,[sound:d25-po.mp3]
きゃ,kya,[sound:c1-kya.mp3]
きゅ,kyu,[sound:c2-kyu.mp3]
きょ,kyo,[sound:c3-kyo.mp3]
ぎゃ,gya,[sound:c4-gya.mp3]
ぎゅ,gyu,[sound:c5-gyu.mp3]
ぎょ,gyo,[sound:c6-gyo.mp3]
しゃ,sha,[sound:c7-sha.mp3]
しゅ,shu,[sound:c8-shu.mp3]
しょ,sho,[sound:c9-sho.mp3]
じゃ,ja,[sound:c10-ja.mp3]
じゅ,ju,[sound:c11-ju.mp3]
じょ,jo,[sound:c12-jo.mp3]
ちゃ,cha,[sound:c13-cha.mp3]
ちゅ,chu,[sound:c14-chu.mp3]
ちょ,cho,[sound:c15-cho.mp3]
にゃ,nya,[sound:c16-nya.mp3]
にゅ,nyu,[sound:c17-nyu.mp3]
にょ,nyo,[sound:c18-nyo.mp3]
ひゃ,hya,[sound:c19-hya.mp3]
ひゅ,hyu,[sound:c20-hyu.mp3]
ひょ,hyo,[sound:c21-hyo.mp3]
びゃ,bya,[sound:c22-bya.mp3]
びゅ,byu,[sound:c23-byu.mp3]
びょ,byo,[sound:c24-byo.mp3]
ぴゃ,pya,[sound:c25-pya.mp3]
ぴゅ,pyu,[sound:c26-pyu.mp3]
ぴょ,pyo,[sound:c27-pyo.mp3]
みゃ,mya,[sound:c28-mya.mp3]
みゅ,myu,[sound:c29-myu.mp3]
みょ,myo,[sound:c30-myo.mp3]
りゃ,rya,[sound:c31-rya.mp3]
りゅ,ryu,[sound:c32-ryu.mp3]
りょ,ryo,[sound:c33-ryo.mp3]
